Region,Month,Temperature_C,Rainfall_mm,Humidity_Percent,Wind_Speed_kmh,Sunshine_Hours
North,January,15,20,65,12,7.5
North,February,18,25,60,14,8.2
North,March,22,30,58,16,9.0
North,April,28,40,55,18,10.5
North,May,33,50,50,20,11.2
North,June,35,120,70,22,8.5
North,July,32,250,80,18,7.0
North,August,31,240,82,16,7.2
North,September,30,150,75,15,8.0
North,October,26,40,68,12,8.8
North,November,20,15,62,10,8.5
North,December,16,10,64,11,7.8
South,January,28,50,75,10,8.0
South,February,30,45,73,12,8.5
South,March,32,40,70,14,9.0
South,April,34,60,72,16,9.5
South,May,35,100,78,18,8.8
South,June,32,180,85,20,7.5
South,July,30,220,88,22,7.0
South,August,30,200,87,20,7.2
South,September,31,160,82,18,7.8
South,October,30,280,84,16,8.0
South,November,28,180,80,14,8.2
South,December,27,80,76,12,8.5
East,January,20,80,80,15,6.5
East,February,22,85,78,16,7.0
East,March,25,90,76,18,7.5
East,April,27,95,75,20,8.0
East,May,29,140,80,22,7.8
East,June,30,280,88,24,6.5
East,July,29,320,90,26,6.0
East,August,29,310,91,25,6.2
East,September,29,260,88,23,6.8
East,October,27,180,85,20,7.2
East,November,24,60,82,18,7.5
East,December,21,30,80,16,7.0
West,January,22,15,55,14,9.0
West,February,25,20,52,16,9.5
West,March,28,25,50,18,10.0
West,April,32,30,48,20,10.5
West,May,36,40,45,22,11.0
West,June,38,80,52,24,10.5
West,July,34,150,68,26,9.0
West,August,33,140,70,24,9.2
West,September,32,100,65,22,9.5
West,October,30,45,58,20,9.8
West,November,26,20,54,18,9.5
West,December,23,12,56,15,9.0
Central,January,18,25,62,13,8.0
Central,February,21,30,60,15,8.5
Central,March,25,35,58,17,9.0
Central,April,30,45,56,19,9.5
Central,May,34,70,60,21,10.0
Central,June,33,150,72,23,8.5
Central,July,31,200,78,25,7.5
Central,August,30,190,80,24,7.8
Central,September,30,120,75,22,8.2
Central,October,28,60,68,20,8.8
Central,November,23,30,64,18,8.5
Central,December,19,20,63,14,8.0
